Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.579,10.562,14.774,10400,nan
LearningBrain,0.547,18.812,13.427,10286,0.400
LearningBrain,0.538,26.442,12.232,10408,1.567
LearningBrain,0.563,37.714,19.467,10400,nan
LearningBrain,0.562,45.305,12.032,10400,nan
LearningBrain,0.579,52.949,12.054,10395,-0.100
LearningBrain,0.580,60.584,11.971,10400,nan
LearningBrain,0.572,68.071,11.719,10400,nan
LearningBrain,0.562,75.929,12.430,10350,-0.100
LearningBrain,0.587,83.833,12.531,10400,nan
LearningBrain,0.568,91.714,12.447,10400,nan
LearningBrain,0.567,99.453,12.447,10400,nan
LearningBrain,0.578,107.063,11.927,10400,nan
LearningBrain,0.585,114.996,12.572,10400,nan
LearningBrain,0.575,122.863,12.463,10368,-0.100
LearningBrain,0.566,130.849,12.717,10400,nan
LearningBrain,0.572,138.829,12.647,10400,nan
LearningBrain,0.563,146.782,12.625,10400,nan
LearningBrain,0.564,155.035,13.195,10400,nan
LearningBrain,0.651,163.196,12.795,10400,nan
LearningBrain,0.572,171.289,12.633,10400,nan
LearningBrain,0.553,179.486,13.125,10400,nan
LearningBrain,0.565,187.537,12.701,10400,nan
LearningBrain,0.572,195.473,12.556,10400,nan
LearningBrain,0.565,203.442,12.674,10400,nan
LearningBrain,0.574,211.561,12.665,10400,nan
LearningBrain,0.566,219.632,13.079,10400,nan
LearningBrain,0.554,227.583,12.700,10400,nan
LearningBrain,0.558,235.723,12.969,10400,nan
LearningBrain,0.560,243.795,12.941,10400,nan
LearningBrain,0.572,251.751,12.608,10400,nan
LearningBrain,0.592,259.953,13.038,10400,nan
LearningBrain,0.570,267.970,12.733,10400,nan
LearningBrain,0.578,276.023,12.897,10400,nan
LearningBrain,0.565,284.247,13.214,10400,nan
LearningBrain,0.569,292.247,12.703,10400,nan
LearningBrain,0.568,300.419,13.026,10400,nan
LearningBrain,0.568,308.283,12.540,10400,nan
LearningBrain,0.576,316.288,12.650,10400,nan
LearningBrain,0.568,324.345,12.813,10400,nan
LearningBrain,0.578,332.244,12.684,10400,nan
LearningBrain,0.575,340.287,12.911,10400,nan
LearningBrain,0.581,348.252,12.775,10400,nan
LearningBrain,0.582,356.289,12.985,10400,nan
LearningBrain,0.579,364.446,12.988,10400,nan
LearningBrain,0.575,372.411,12.654,10400,nan
LearningBrain,0.571,380.596,13.325,10400,nan
LearningBrain,0.597,388.721,12.874,10400,nan
